"Review","school"
"I attended App Academy after graduating college with a degree in Ecology and working in the US Forest Service for three years. Basically, I had no technical experience whatsoever outside of playing video games and experimenting with basic coding in the... Read More language BASIC when I was a kid. After about 7 months total of coursework and the job search, I landed a job as a software engineer at a series C startup and I feel wholly prepared to assume my new role.App Academy has a pretty solid curriculum, and while you could conceivably learn it all on your own it's much more efficient to do it through them. While most of the TA's are recent A/a grads, the cohort leads are usually experienced engineers and can answer your in-depth technical questions. I'm pleased to say there is a decent focus on true CS concepts rather than just how to use the trending tools of the industry, which is really what counts in the job search. Specific languages and tools go out of style rapidly, but if you can internalize the core concepts of CS and learn how to pick up new things on the fly, you will be able to apply to a wide range of jobs and have a chance of passing the interviews. Pair programming is one of the most infuriating experiences imaginable, but I will say that it is the secret sauce that makes this bootcamp work. Left to you own devices you will likely not be motivated or focused enough to work through the whole curriculum on your own, but when paired with another person all day it makes sure that both partners are on task and making good progress. I will say I love pair programming when two people can just freeform work on the project together and throw out the driver/navigator roles, and I encourage you to suggest this to your partners if both of you are on board.I would also say that while the A/a model works really well right now, it is definitely a crapshoot whether or not it will work for you or in the future. Right now tech is a bloated whale of high paying coding jobs that could be conceivably had with just 4-6 months of rigorous training, but I suspect that like the gold rush this will come to an end. Most of these jobs are for startups which are not profitable and are funded by VC cash. While I'm not an economist, I have heard from people who are that the tech industry is likely overvalued and may crash in the same way that finance did in 2008. Just be wary, and have realistic expectations. At the time of this review I would 100% recommend App Academy as a viable option to a tech career, but if you are reading this a year or later down the line I would do my research into the state of the industry and bootcamp placements before registering. If you are older (say, 35+) or lack a degree you may also struggle to find a job as many companies will automatically weed you out for not having a degree or discriminate against you for being an older candidate. Ditto if you are not a citizen or green card holder. While I and many of my friends found jobs within 3-6 months of finishing the program (some even sooner), I also met many people who fit into the above categories who ended up searching for upwards of a year.The one place where App Academy really shines is the job search. This to me is where 90% of the value comes from. Anyone can learn how to code on their own, but I can honestly say without my dedicated and talented coaches I would have been dead in the water. They teach you things that you can't easily learn off the internet, things you wouldn't even think to google, and the job search formula works, at least in this current economy. Indeed, I did App Academy because I didn't think I could find a job in my old field (ecology), but after going through the job search curriculum I realize I total could have if I knew what I know now about job searching. Lastly, I'd like to mention that my first coach was a dud and pretty useless, but after he ""left"" App Academy I was assigned to two new coaches who were total rockstars. My point is your milage may vary, but for the most part I would say the coaching staff is solid.Finally, read the fine print. The ISA money-back guarentee only applies if you finish the program and don't find a job after a year, and even then you will more than likely have to sign a job search extension adding extra months before you are eligible to get your money back. This is due to the fact that your projects and job search materials will likely not be done by the time you graduate and you will need to spend additional time working on these, during which time you are not technically job searching. Make sure that you are able to support yourself being fully unemployed for a period of 17ish months (4 months curriculum + 13 months for the search) before you start the program if you want to be safe. Of course you could just send it anyway, but you are running a risk as if you run out of money and have to go back to work you will still owe A/a $28K. Also, plan on moving to a tech hub city (most likely SF or NY) if you do not already live in one, these are the places where companies will hire bootcampers. I was lucky enough to score a remote job, but that is also mostly due to COVID. You may also be able to do so but again it is a crapshoot.Overall, I would recommend App Academy but only in an artifically inflated and booming tech economy.Read Less",app-academy
"Pros: -Great curriculum taught by competent and (mostly) empathetic instructors who want you to succeed. -If you can pass the curriculum as well as are giving a true ""best of yourself"" effort then you will learn to program.-Resources are plentiful during... Read More the course-Don't pay a dime until you get a job.Cons:- During job search technical resources are very much limited and watered down compared to help you received during curriculum.- Although there are few, I did encounter instructors that I felt were chosen for their ability to program rather than their ability to teach and program.- Terrible system of conduct and accountability. There has to be a better way to handle plagiarism. Everyone who programs grabs info from stackoverflow etc.Read Less",app-academy
"Pros: - Good class structure and accountability to help keep students on track.- Great teachers, feeling of community with other students, even though everything is online remote.- Good breadth of material, focused on what companies are currently looking... Read More for in an applicant.- Good pacing and balance between learning material and practical project work. Cons:- Certain subjects are still a little rough around the edges and need to be refined. Specifically, how we were taught react during my cohort was rough and kind of backwards, spent a lot of time on old ways of implementing react and very little time on the new (hooks) way. However, they are actively rewriting the whole react curriculum, so should be fixed for new students.Read Less",app-academy
"With any boot camp I am sure there is going to be ups and downs or things you like and don't like, so with all that aside was App Academy wroth the time and money? For different reasons than I thought when I joined yes it was. Everyone will have a different... Read More experience base on how you view things and what your expecting. So here is what I know for sure without App Academy there is no way I would be in the same place today without them. You don't know what you don't know tell your face to face with it. App Academy forces you to move on to new stuff even if you think your not ready and you when you move on you find out that were actually ready. This is the biggest reason why I would say if your thinking about a boot camp go for it!Read Less",app-academy
"I had a great time at App Academy. For me the con is also a pro, when you first sign up they tell you that it is a very rigorous and demanding program but I didn't take too seriously. Just a few weeks later I was putting in anywhere from 80 to 100 hours... Read More of work into completing the course work. Which is necessary due to the amount of material that we learn in just a few weeks.I feel that the boot camp made me a better developer and that I was given all that I signed up for and more.Thank you so much for changing my career path.Read Less",app-academy
"App Academy is designed to push you to your limit and has you riding the line of being overwhelmed and advanced fast-paced learning. I really enjoyed my time with the TA's and my classmates. The TA's are very competent and helpful. If you're self-motivated... Read More and have a focused and directed mindset to become a software engineer/developer, I highly recommend App Academy.Read Less",app-academy
"App Academy's full stack web development course is tough, but perfect for anyone who wants to seriously boost their code knowledge. TA's and fellow students were always eager to offer assistance, and the curriculum really teaches a student how to learn.... Read MoreRead Less",app-academy
"Pros:+ The course is designed well and is an incredibly effective way to learn a lot about coding and web development in a short amount of time. I entered App Academy with no coding experience or technical background, and graduated with a ton of practical... Read More skills. + Amazing Teaching Assistants. All the technical staff at AA know their stuff and want you to succeed. Pro/Con: + Whether this is a pro or con depends on what motivates you, but the possibility of dismissal for failing two assessments adds a significant amount of stress. For me, this stress made the program more effective. I would keep studying for tests long after I was 'ready' for them, which lead to a greater mastery of the material.Read Less",app-academy
"I feel like saying that I enjoyed my time here would label me as a masochist, but yes.. I did enjoy my time here. I was looking into getting into coding, but didn't know where to start and what stacks to learn, so I decided to give App Academy's 16 week... Read More Full-Stack web development course a shot since I've heard of all these good reviews, and so far, I'm not disappointed. To get in, first you have to pass their interviews. After you get in, things start a little slow, for the first week, but then speeds up really fast. Especially after the first two weeks, which is the foundations part of the curriculum, after which, the real meat of the course starts to show and the pace picks up even more. It's extremely vigorous, but there is a light at the end of the tunnel. If you manage to pass all their assessments you'll be rewarded with newfound knowledge in programming and the ability to build cool apps. After completing the course you enter your Career quest, in which you will be provided a Career Coach who will coach you on applying for jobs and interviewing. All in all it's been a great experience that leaves you feeling fulfilled, and I'm also impressed and how they turned this in-person course to an online one.Read Less",app-academy
"Pros: Teaches you all the things you really need to know. Teacher assistants are really useful and the projects they provide for you to do are helpful. The teaching strategy is to repeat concepts until it's cemented in your memory, which I believe is... Read More rather effective.Cons: They stop giving you meaningful assistance when it comes to your personal projects at the end of the bootcamp. You're pretty much on your own, but of course you have your fellow students as resources but they're also trying to complete their own projects. They claim that the independence on the projects is to emulate your experience outside the bootcamp (without Teacher Assistants).Read Less",app-academy
