"Review","school"
"General Assembly created a very easy-to-follow workflow for the classes. It was a very 'hands-on' approach, where we could put into practice all we learned. A very good comprehensive course, yet easy to follow. The instructors were phenomenal! Since they... Read More are real professionals working with the topics on a daily basis, they could give us a real insight into the professional day-by-day scenarios and examples. They were always available for that extra support as well. I'm really pleased with this course!Read Less",general-assembly
I initially started the course in order to become a more competitive Frontend Web Developer. The class was well structured and provided great resources for me to review and practice React. The class was pretty fast-paced because there's a lot to cover... Read More but the instructor did a great job in focusing on the things that were essential to learning a strong React foundation.Read Less,general-assembly
"My front end web development course with Esin, and Hou Chia was great. It was very interactive and easy to follow the lessons, the homework and study ratio was great. I enjoyed learning new things with new people and over zoom and slack. I didn’t have... Read More any negative experiences in this class, it was all positive. That is the main reason I am returning to General Assembly to take another course. The Admissions team is very attentive and responds to all your questions very quickly as well.Read Less",general-assembly
"They clearly don't know how to work during the pandemic (I very much hope that they didn't operate like this before Covid...).I went to an open evening in November 2019. They absolutely sold it to me then- dedicated tutors who were 'veterans' in the industry,... Read More a curriculum which reflects trends in the tech industry as well as money back if you don't land a job. ALL OF WHICH ARE LIES.Teachers seem to get annoyed when students asked too many questions or were challenging. But would often say 'please ask me questions so you can make the most out of your money'. During one full week project, the teachers wouldn't even come on zoom calls to help us debug our code and told us off again for not asking for help. The last module - Python, Django and PostgreSQL should be omitted from the programme as it only reflects how well students can copy and paste code to fulfil a project with a backend in a different language. They clearly only do this to bulk out their technologies and languages taught during the course. The teacher barely even knew Python and was googling most the answers. Some students were even correcting them. Otherwise, surely they should get a data science instructor to each us fundamentals in Python. General Assembly's excuse to that is by week 10 there's no shame in googling for the answer as that's also industry standard. And I completely agree, but at £9,000 you would expect the tutor to be knowledgable in that language.Another massive joke is that we had to deploy two of our big projects by ourselves with absolute MINIMAL help. After the course finished Herkou was no longer supporting the backend to one of our projects. We've not heard from the instructor how to redeploy. This proves that once you've finished there's no support. How can they charge £9000 and not help with the most inciting thing - deployed projects.I was fed lies when I reached out to a higher up to voice my dissatisfaction, and the person always turned the conversation around to ask how they could help support me. Their answer was because I was apparently one of the top students, they thought I was doing ok, but to make me feel better and gain more support I would have 1-1 with the lead instructor to help me improve. This meeting never happened.They make you jump through so many hoops to become 'job seeker ready' by then a lot of people drop out so aren't accounted in their outcomes statistics. You're pretty much on your own when it comes to the job search, and nowhere in the contract does it clearly state after x amount of days you can ask for your money back.Read Less",general-assembly
"I attended General Assembly's UXDI program remotely and overall it was a great program. However, a lot of opportunities will be missed through remote versus in person. Of course COVID is unavoidable and GA wanted to ensure everyone's safety, but the same... Read More offerings were promised as in person. Not necessarily! A lot of the networking opportunities weren't possible or incorporated as well as getting panelists from experts in the field. I met a lot of amazing people and learned so much and grew immensely since the start. It's a lot of hard work but I don't regret coming to GA. If you need to have that hands on experience, especially because it's UX design, consider waiting for restrictions to be lifted for in person classes. Or go to a different school for much cheaper!Read Less",general-assembly
"Graduated from General Assembly Software Engineering curriculum which isn't on 12 weeks but 9.Why? Because you have 3 x 1 project week where the interaction with GA educational team is nearly none existant.Their curruciculum covers the basics but do not... Read More go in depth.They are promoting their affiliation with the Adecco Group which does not provide any job nor operational support, whatsoever.General Assembly Outcomes program is completely useless - you will be on your own when it comes to your job searches.This program will simply help you design a Resume and explain the same information over and over again: waste of time and obselete.The overall experience isn't worth such investment, at all.I sincerly regret going with them.Read Less",general-assembly
"I wish I could give it 1 star. This is a bit over due. But I signed up for GA classes last year around the same time , to be more specific UX/UI classes. I went through great depths to take a loan out through them hoping these classes are going to build... Read More my future. To be more specific I have already gotten my bachelor prior to these classes and I signed up for UX/UI courses. The course was so so terrible and the instructors were horrible. The theoretical parts of the class did not cover any of the necessary information you need to succeed in the course nor this field. The technical part of the class was taught so miserably by instructors that couldn't open up the software tool (Sketch) and one of the instructor assistance deleted my project that I worked on for weeks. I stayed in the class for couple weeks hoping I would gain some sort of skill and be able to land a decent job, but that hope was quickly let down when the instructors repeatedly set our salary exceptions extremely down. I was told that I should expect the maximum salary of 70k which is insanely low. Long story short, I dropped out and only was able to get very little refund for my money. I dedicated a full month teaching everything to myself online through, youtube, Udemy, and books and other sources and I was able to land a job shortly after with a salary twice as promised by these unqualified instructors. So, STAY AWAY. DON'T GO UNDER DEBT. you will be able to find a job even without the disgraceful certificate of GA.Read Less",general-assembly
"I have mostly good things to say about General Assembly with the caveat that you have to know what you are getting into before you know you will benefit from the course. Which can be difficult to do if you don't know what you don't know. As you'd expect... Read More from a 3 month course teaching complicated subjects like Single Page Applications and Computer Science topics, it moves at an extremely fast pace. And if you don't have a passion to keep up, you likely won't keep up and the course probably isn't for you. If you get excited when you refresh the server and the code you didn't know would work or not looks amazing, then this course will definitely fill in gaps quickly. The instructors were all helpful. Each of them in their own way and certain students seemed to gravitate towards one type of instruction over another, but everyone was motivated to help me learn and get what I wanted from the program. The curriculum itself felt very flexible and like it was being updated frequently. As far as job support I don't have much to compare it against, but I've been happy so far.Read Less",general-assembly
This course was amazing. It was a great way to meet current product managers and hear from their insights into the role. I was the least experienced person in my cohort but it was definitely an advantage to learn from so many people who are industry experts.... Read MoreRead Less,general-assembly
This program is definitely not for novices. It moves VERY fast and will definitely take additional hours of review. It did not prepare me for a career transition. It should be more like 6 months for students to really be comfortable with the material,general-assembly
