"Review","school"
The course is fun and it is an eye opener for me. I have not done programming since I have left school and it did take some time to catch up. The trainers are helpful and patient with me and the course is design in line with industry practices that is... Read More very applicable to real life situation. Highly recommend to beginners in python.Read Less,hackwagon-academy
Pros:Attendance taking online good for the less disciplinedApproachable instructor who took question as the online class are stream live unlike a pre-recorded video for most online courseHelpful teaching assistants during weekly consultation hours if... Read More you need the extra boostCons:Online course of this topic at other provider are priced at a small fraction of the cost hereLearning curve gets a lot steeper towards the end of the courseRead Less,hackwagon-academy
"I think that it gives you a great general overview of Python. Towards the end, there were a lot more shortened codes which were quite confusing, but I guess its to bridge to the next course which is more in-depth on Python. Otherwise, the course was short... Read More and good.Read Less",hackwagon-academy
"The lesson was very engaging and the despite being a online lesson, it felts almost like a live session. Also there were recordings and extra assistants available to better understand the concept. And have definitely learned alot of the basic of python... Read More and would love to take more courses from them. Instructor Mr Ranon Sim was an excellent instructor and able to explain the concepts very well and he was quite engaging and lesson didnt felt boring. Despite being a very slow learning glad that I learned alot as a beginner. Thank you and encourage people to join as wellRead Less",hackwagon-academy
"Classes are manageable for beginners and have sufficient depth to have a good foundation. The instructors are very approachable and friendly, the classes are paced according to the pace students are comfortable with and overall it was a fun and enjoyable... Read More learning experience.Read Less",hackwagon-academy
Course instructors and teaching assistants provided good examples and went at a good pace. There was good coverage of practical examples and many helpful exercises and projects. Good basic introduction to Python to build strong fundamentals for future... Read More learning.Read Less,hackwagon-academy
"1. Did u know that the deposits are non-refundable? I did not and that's because they were somewhere in T&amp;C. Originally wanted to drop the course, but they did not allow me to do so. 2. Curriculum was all about teaching you to code, but not to understand... Read More about the algorithm behind, which I felt is more important. Learning how to code can itself be learnt through an online course on Udemy, easily 10-20x cheaper. So what's the value added?Read Less",hackwagon-academy
"The course was well-planned and had given me valuable insights on the application of Python Programming for data visualisation. Through the various problem sets and teaching materials, I was able to build on my foundation and to apply the knowledge learnt... Read More for future use.Read Less",hackwagon-academy
introduction to Python Programming is an Informative course which is suitable for beginners who have no prior programming experience. Good and responsive teaching staffs. Weekly small group consultation is held to answer questions and pace of lesson is... Read More alright too.Read Less,hackwagon-academy
"Overall, I enjoyed the experience that is why I signed up for DS102 to continue my education with HackWagon. I look forward to a more or less another enjoyable learning experience with the next course. A big Thank you to the lecturer and especially my... Read More tutor Ms Tan MingYi for her 24/7 support.Read Less",hackwagon-academy
"pros: Content is manageable Professor is informative Presentation of content is simple and easy to followTutoring assistant is very helpful is clarifying concepts Cons:For the last 2 lessons, difficulty in content increased quite significantlyPace of... Read More lesson for last 2 lesson is quite fastIt will be nice if there are more exploratory materials and some guidance for itRead Less",hackwagon-academy
