"Review","school"
"IRONHACK will be the best choice if you want to go deeper and have solid foundations in web Development. The tools provided helps you achieve with success the bootcamp.The teachers and T.As are always here for you and everybody is really supportive. I... Read More spend my bootcamp in an hybrid form ( you can choose between working from home or going to school ) and it was a very good experience.Just one tip for the futur web dev , get familiar with dev by doing some online course to be ready and to take all the advantage of the bootcamp.Read Less",ironhack
"I could not be more impressed with my experience at Ironhack. Where do I start? When I discovered the UX field I knew that I would be a perfect fit, however, I also knew I needed proper guidance when making the career change. Ironhack provided me with... Read More more than enough guidance and resources to accomplish my goal of landing a job and making a complete career change. This program is called a 'bootcamp' for a reason. It is tough and intense. You are learning A LOT each day through lectures and (mostly) project work. However, the instructors are there for you at all times to answer any questions and offer you the proper guidance. The instructors I had were VERY knowledgable about the UX process and best practices, and they were always so patient with those who needed extra time to fully understand the concepts. I never felt intimidated or scared to approach them with any questions or concerns that I had. They created a very inspiring and encouraging classroom environment. Following the examples of our instructors, all of my fellow classmates were always willing to help each other out and pick each other up. By the end of the bootcamp, we had all gotten pretty close and it was honestly hard to say goodbye. Another part of the program I really benefitted from was their Career Services. Brito (the Ironhack Outcomes Manager) is an absolute job and networking guru! Something I really liked about this part was their honesty. They made it clear that if you want to land a job out of this program, then you need to be the one doing the networking and applying. So many bootcamps out there promise that they will hand you a job right out of the program, which is total BS. But Ironhack's approach is to teach you the best methods of networking, applying, interviewing, and setting up your LinkedIn. Rather than catching a fish for you, they teach you how to fish. I was able to land a really good Product Design job within a month of graduating. However, landing a job takes some people longer than others. I can honestly say that this program changed my life for the better. I was working in farms and restaurants prior to this, barely getting by on my hourly pay, and now I have landed a permanent role with a great salary and benefits. I am forever grateful for Ironhack and owe them so much. Last but not least I do want to say: this program isn't a walk in the park. It is a lot of work and very stressful at times, but this just means that you will be learning a lot of information. Any program worth doing will challenge you to become better. If you are serious about switching to a UX career, I would %100 recommend Ironhack!!!Read Less",ironhack
"Ironhack bootcamp is a unique experience where you are challenged during 10 weeks.it is not easy to learn how to be a webdev in a such a short amount of time but it works!Thanks to the great staff of Ironhack, you will never feel alone as their are all... Read More here to help you. They are patient and don't hesitate to take the time to reexplain things to you. At the end of the bootcamp, you will have some project that you can present as your portfolio.The facilities are suberbs, with modern design and good access to internet and furthermore, there is lots of goods restaurants around ;)Read Less",ironhack
"I attended the UX/UI bootcamp at Ironhack and it was a great experience.Even with the particular sanitary situation, Ironhack managed to give us, remotely, really qualitative education. The pedadogic team (teachers, TA) as long as the ""admin"" team, were... Read More really comprehensive and caring so that we live the best experience. I can't say how much it was rewarding, both on human and professional aspects. I would definitely recommend this bootcamp !Read Less",ironhack
"I'm really happy I made the decision to join Ironhack's web development bootcamp. I was a little nervous before joining the bootcamp because I was changing from a completely different career field and had little previous experience in coding, but it turned... Read More out to be a great decision! The bootcamp is intense, but totally worth it because you become immersed in the code and progress quickly. I can't believe how much I learned in just a few weeks. The time flew by! The course is made up of three modules, which each last 3 weeks, and at the end of each module there is a project, so you put your new knowledge into practice straight away. You decide what your project is going to be, so you get to work on something that really interests you. The bootcamp is well run and organised, all the staff were very supportive and approachable. The teaching staff are knowledgeable and explained things clearly, and were happy to answer any questions we had. Because of the pandemic, the bootcamp took place in a hybrid format which allowed the flexibility to choose to work from home or come to class. I met a lot of great people. There was always a friendly atmosphere in the classroom, and we would help each other out when we were stuck or share helpful tips and tricks. All in all, the Ironhack bootcamp was a very positive experience for me, and I highly recommend it.Read Less",ironhack
"Pros : a really well organized program to learn with efficiency all the basics in web dev. You will learn fast, hard and well. Teachers an TI are great and always there to answer your demands. The programs are made to be as efficiant as possible for students... Read More to learn faster as possible.Cons: the possibility to do an internship or an alternation at the end of the 10 weeks would have been great. Sometimes, the rythme is so intense that you feel lost... everything goes really fast, but that is what a bootcamp is, and at the end, you might not have all insurance to get your first job.Read Less",ironhack
"I have thoroughly enjoyed my time at Ironhack in 2020. From the rich lessons provided by our Teacher extraordinaires to the Program manager’s benevolence, everything was made to help us progress in a safe and exciting environment during the Covid-19 pandemic.... Read More The design challenges and the capstone project with a start-up gave us plenty of opportunities to try out the different methods we learned. I wished we had an introduction to UX writing, but the Bootcamp gave me the confidence to transition to UX, as well as the knowledge and skills required to do so. It’s now up to me to continue learning by myself as one does after graduating from any school or college. It was inspiring to work with other students in such an immersive training program. We helped each other, supported one another, and also had tons of fun on Zoom and Slack. I highly recommend Ironhack to anyone looking for a program to start learning UX design. It's demanding during the Bootcamp, and you will have to study some more on your own afterward. But it's no doubt a great stepping-stone to begin working as a Product Designer.Read Less",ironhack
"I did the full time bootcamp. It was just before the second lockdown so I followed classes on the campus and on Zoom. I have mixed feelings about it so I made 2 lists. Let's start with the cons (so I can finish on a positive note): - There is only 1 teacher.... Read More He's called lead teacher but he is the only one so ""lead"" here is irrelevant. I think it's a shame because there are so many ways to do design that learning just one approach is a bit short. - They make you buy a macbook for nothing. There are two 3 hour lessons on Sketch. Which is pretty much the only reason you'd need a Mac. keep your money, work on a PC and borrow a MacBook for these lessons. You'll be fine. - Figma &amp; Sketch Labs are very very light. I really feel I still can't make the most of them. - The webdev week is laughable. The ""lead teacher"" was trying his best to teach us webdev basics. I was expecting a proper webdev teacher with structured and organized classes. I thought my 8000€ would buy that. I was naive. - The social aspect is cheap. They emphasize on the possibility to network and all the fabulous events that are organized... It doesn't exist. There are IronBeers on the rooftop once a week with one beer/person that they put in the fridge in advance so you can't really come unexpectedly. For the last one we had a few chips, 1 slice of ham per person and madeleines from Franprix with cheap wine. Just sad and cheap. Now let's talk about the pros: - the remote classes didn't feel so remote. They had some training with the first lockdown. It was pretty easy to follow even though we weren't on the campus. - The educational method is very efficient. You start working on projects from day one. You practice directly what you learn during class which makes it immediately very concrete and understandable. - At the end of the bootcamp, I felt ready to work. I had projects to show on my resume and I had some work worth a portfolio. And that is what counts!!!! - The career week and the coaching are both very good. I just finished so I can't tell more but from I've seen so far, it's the first time I feel supported in my job search. To wrap it up, like I said in the title: it's a good bootcamp but you can probably find the same quality for less money. So if you have a grant or subsidy of any kind go for it!Read Less",ironhack
"I found out about Ironhack UX/UI Design bootcamp during an open event organised by the school. I decided to join the program despite the fact that I didn't have any background in design. But I was encouraged by the beginner's mind and learning by doing... Read More spirit of the bootcamp. Right from the start we began to work on very concrete and interesting projects and learn to create valuable deliverables. Although the pace of the bootcamp was very demanding I could follow-up thanks to an amazing supervision from the educational staff, and also receive great support from my classmates (even though the bootcamp was done remotely due to the pandemic). The bootcamp is tough but you will never be alone in the journey and you can always rely on someone to solve the biggest issues you will face. In the end of the 9 weeks of the program I was able to realise things I would never though I will be capable of ! The big glow of the program is that you will have the chance to work with a real company for your final project, which will teach you how to be a designer not only in theory but also inside a corporate environment. The downsides of the program is that it is relatively expensive and requires you to have your own equipment (but you can find help from the staff for financial issues). Overall, the program was an amazing experience from me and allow me to learn a solid basis a UX skills that will probably help me tremendously in my professional career.Read Less",ironhack
"Amazing teachers, classes and support during the Bootcamp! 🔥😀🔥I strongly recommend IRONHACK if you want to learn Web Development. The teachers and T.As are always here for you and everybody is really supportive. If you are looking for a fast pace learning... Read More environment, IRONHACK is made for you!! But be ready invest yourself 100% into the course during the Bootcamp! 🔥😀🔥Read Less",ironhack
"I am very happy to have chosen the UX-UI Design course from the Ironhack school.After only two months of intensive training, I feel legitimate to apply for a job in the field of UX design. Moreover, the team is always available to answer or advise us.... Read More And I loved the afterwork on Friday evening.Read Less",ironhack
"Ironhack has adapted perfectly to the covid crisis with its hybrid version: online courses, with the possibility of following it from campus or from home. The staff are lovely, the teachers knowledgeable, and the kindness is omnipresent.The premises of... Read More the Deskop coworking space are very pleasant and very suitable for bootcamps. The district has many restaurants of all kinds that offer take-out. In short: an ideal setting for our learning!Regarding the lessons, the pace is very fast: it starts strong and it never stops. Fortunately, the teacher is available and always takes the time to answer questions (so do not hesitate to ask!). It is vital to be hyper motivated because the lack of time during the bootcamp implies a personal work downstream to go further.Many projects are to be presented (perhaps too much, which is frustrating when you want to go further, but) this allows you to constantly put into practice the courses of the week, and especially to have concrete to present to recruiters as soon as we are looking for a job.On the techno side, the courses are clearly focused on Python, but allow a good grip of Git, SQL and Tableau. The course materials are online and do not always match the content of the course itself. Sometimes that's good because it provides clarification, but you can't always find what has been said in class ... ""Google is our friend""!Many projects are to be presented (perhaps too much, which is frustrating when you want to go further, but) this allows you to constantly put into practice the courses of the week, and especially to have concrete to present to recruiters as soon as we are looking for a job.This bootcamp was a great experience for me, I met great people and I learned a lot. But the covid crisis makes job search tough, even in the data industry, and this training does not cover all the techno requested by employers, who are looking for seniors or young graduates with at least internship experience or co-op education... it's important to be aware that Ironhack doesn't make it easier to find a job anymore.Read Less",ironhack
"ProsA chiseled program split into 3 perfectly timed modules and a career week to finishFriendly, patient and bilingual teachersExtra curricular activities such as meet-ups and webinarsConsA little too expensive for the course and the facilities",ironhack
I did this bootcamp because i wanted to face new challenge and be a web dev.Why i choose and why you should choose this bootcamp;Pros: - Great teachers - Learning by doing- People you meetCons:- Difficult for people with 0 knowledge in development- Full-time... Read More mean full-time :)Read Less,ironhack
"I started my bootcamp in web development at Ironhack. I had almost no basis in coding, I didn't expect tolearn that much things in just two months. It was pretty intese as expected and we learned a lot of things everyday but always had the chance to practice... Read More what we just learned. The teachers and administration were really helpful when we were stuck and it was really great way to improve. The two teacher assistant were previous students of the bootcamp so they were really understanding what we faced. Furthermore, what we learned seemed really connected to the business reality.Overall it was really an unforgettable experience with a lot of new things learned.Read Less",ironhack
I was in the Web Dev August Cohort. It was a very good and awesome experience. Very good pedagogy. Intense and challenging training. You will not have the same way of thinking after the bootcamp 💪🏼 Teachers are great and so does for the whole team! Had... Read More the chance to meet awesome people as well! I recommend 🙂Read Less,ironhack
"I've been a part of Paris August 2020 cohort. The bootcamp is very technical, concentrating mostly on Python and ML skills. Nice selection of students, good impression overall, but too few SQL and DataViz time. I had a feeling that they're trying to make... Read More of us Data Scientists (algorithms, Machine Learning, a lot of mathematics), which is impossible in two months. Very happy to learn Python though as it's a nice skill to have, asked a lot in interviews.Fun and hard working atmosphere. Career services are a nice bonus for the end. PS. Strangely, all the feedback that you're asked to do every week is not anonymous - means that if you write something non-positive, you can be contacted to explain yourself. Never seen that before.Read Less",ironhack
"I am glad to have invested my time and money in this bootcamp. It is very intensive, especially in the first couple of weeks because you are learning so many new things at once. But it end it's worth it because you finish the bootcamp with a theoretical... Read More and practical knowledge of Python, Machine Learning, SQL and Web Scraping.Learning remotely due to COVID was a struggle sometimes because there were some connection difficulties and we couldn't hear the teacher very well. But overall, I can say that what learned remotely would probably be the same if I had learned inside a classroom.Read Less",ironhack
"The bootcamp doesn't seem to be that long, but thanks to the classes and the projects we are learning so much in a short amount of time. Furthermore we are working on project after class and during weekends, because we are motivated and giving ourselves... Read More fully.Read Less",ironhack
"Before I started the bootcamp, I was really scared I wouldn't make it. But that was before... =) At Ironhack you will find :- A teaching team that listens and is always there to help and support you- Great courses - A very good atmosphere - Top tips",ironhack
"I wanted to change of career path and I chose Ironhack to learn web-development. It's tough when you start from 0 but all the team is great and encouraging. If you have any doubt, talk with them, they are here to help. Lessons are complete, you will learn... Read More a lot of different tools, really useful. The 3 projects summarize and mix what you learned, you will practice a lot and that's the best way to learn. And the career week will help you to be ready to find a job. Teachers and TA did a great job. Really good program and cheerful team. The bootcamp is over 2 months so you have , obviously, to practice and improve by yourself also.I did all the bootcamp in remote, it was ok and they dealt with it pretty well. For me, it was actually better because I couldn't move to Paris.I recommend this bootcamp! Thank you all.Read Less",ironhack
"I attended the Berlin bootcamp and the biggest pro is that the teachers and assistants are highly qualified and have real experience in the industry. I however have countless bad experiences. Firstly I found that they were not transparent E.g every student... Read More pays a difference amount for tuition and since I paid full price I felt a a bit cheated when I found out other people in my class paid substantially less. They also promised career service after the bootcamp but never really supported people in my cohort, as a result I really struggled to find a job afterwards. At present only 3 people in my class have found a developer job in my class. They also promised that alumni would have access to the teaching material but instead we only have access to outdated web dev teaching material. The worse part of this entire experience is that they never addressed our concerns. I would not recommend studying at this bootcamp!Read Less",ironhack
"(Por favor copie e cole no google tradutor se você é um futuro estudante e esta pesquisando sobre qual escola ir) Covid 19, lost my Grandpa, lost two businesses, went completely bank corrupt, and decided to sign up for the boot camp because was always... Read More one of my dreams and I used to be a very big Fã of iron hack. The boot camp for its self was perfect, a lot of things happened in my personal life in the middle and they were very supportive. But in the end, they are lacking in their customer service for their older students, they claim to have a slack Channel but they don't answer you there, they promise a T-shirt for everyone, which is very SIMPLE, and until today we got nothing, as I also need to review some of the classes that I had because they said that each class was being recorded (on zoom) and in fact was, but they won't answer you back when you need, I already sent two emails and yes they read it already ( i have a tool that shows that), but nothing, it's so frustrating because I still need to finish my portfolio to start looking for jobs, but before I wanna see a few things that I forgot, BUT they don't answer, come on guys, for a really expansive Bootcamp and a school like you guys, you guys will really fail with me because of a simple email?I even referred you guys to a friend in Portugal, and yes he joined you guys because of me. It's really frustrating. Hope this can help you guys before you signing up. It's so sad to see how you guys really get me, got my money, and left alone in the middle of a pandemic, and yes, why I say that? Because you guys promise me that everything was going to be okay, and it's not! I just need the link for the recording class, that's it! I Paid for that, that's why I think it’s the minimum thing that I could get back from you guys.Read Less",ironhack
"A truly amazing experience, to be honest. I was part of the Part-Time UX Design course for 6 months, and I cannot really describe how much I enjoyed the process. For me, it was life-changing. I came into class with minimal background in design and walked... Read More out the door with a wide range of skillsets (from UX Research, Design Thinking, UI Design software technical skills to even project management and communication, etc.). The Ironhack Miami classroom environment is beautiful, and its location is a jewel (in the heart of Brickell).But the real value of Ironhack Miami resides in its people and staff. The social interactions, professional network, and friends that you are going to make there are gold. I cannot thank enough to my design instructors Snezana, Juno, and Jade. Big THANKS also to Brito, the Digital Talent &amp; Business Development Manager, for his constant support and advice after graduation in the Job Hunt process.All I can say is that a year ago, I was frustrated in a job with no growth, no passion, no recognition for my efforts, and today I am moving into a full-time UI Design role in a big company in the middle of a pandemic with a tough job market. Still cannot believe it, my life is about to change, and Ironhack was definitely the trigger.THANK YOU IRONHACK MIAMI SO MUCH!!!Personal advises:- If you can, create a little design foundation by learning before joining the course (Youtube, etc.). This will make you stand out- PLEASE never stop learning, during, and even after the course. Be curious and try to learn as much as you can by yourself. Just the course is not going to make you land the job or a pro. You need to have the drive and passion for it (this is were most of the people fail after the course, in my opinion)- Participate in meetups and reach out to the community for help if necessary, do not be afraidRead Less",ironhack
"I use to work in advertisement and decided to move into data through a bootcamp.I was in Paris' June Data Analysis bootcamp, which were 100% remote due to sanitary reasons.The lessons were very clear, really intense of course, but the teacher were here... Read More for us exactly as if we were on the campus.We've learned a lot throught those 9 weeks, and people are always amazed to realize all we were able to learn efficiently in such a short time.I'm really glad I had the chance to attend this bootcamp, because today I'm a proud Data Analyst.Read Less",ironhack
"« On m’avait prévenu de ce que voulait dire « bootcamp » mais je ne m’attendais pas à un tel rythme », c’est ce que j’ai beaucoup dit en présentant la formation ironhack UX/UI. En deux mot, cette formation est une superbe expérience. Étant déjà familiaire... Read More avec le métier j’avais de grandes attentes pour cette formation et je n’en suis pas déçue. J’ai été impressionné par la qualité de l’enseignement et de l’évolution des étudiants en si peu de temps. Nous avons beaucoup appris, les projets ont étés tres formateurs. L’entraide et l’ambiance générale ont été assez exceptionnels. Nous avons réalisé la formation à distance et ce fut tellement concluant que je compte travailler en entreprise full remote très bientôt.Read Less",ironhack
