"Review","school"
"My Le Wagon experience was unforgettable! When I decided to join Le Wagon, I came with minimal knowledge of code and had only learnt a bit of HTML and CSS. My batch underwent the full-time bootcamp 100% remotely and the support that was provided by the... Read More team was amazing - what a seamless experience! I felt well supported in this community and have built amazing friendships for life. The content that we received for 9 weeks was lots and I was able to understand how to build web apps from front end to back end to deployment by the end of it. It has also taught me how to work and communicate with others as we did lots of pair programming and group projects, which is an important skill that employers look for. The teachers were great at explaining and debugging. The learning platform that all students have access to is continuously updated so you'll never run out of content to learn after bootcamp. In terms of job support - after getting that initial support from Le Wagon's careers coaching sessions, I planned my own strategy to get through the job hunt successful and landed a job 5 weeks after bootcamp. Definitely don't expect to know everything about coding straight out of bootcamp, it is a 9-week bootcamp that they are trying to help you understand about web development and not a 4-year computer science degree. Learning to code is an ongoing journey! Honestly, no regrets at all for joining Le Wagon. It has propelled my learning and career pivot as I know I need the intensity and accountability from others to successfully learn something from scratch (I have previously attempted to learn coding myself and it didn't work out). I do recommend a decent laptop (a Mac or a slightly more powerful windows) if you are doing the bootcamp remotely as it may disrupt your experience if your laptop lags half the time!Read Less",le-wagon
"The Le Wagon Tokyo bootcamp literally helped me to change my life. Four months after graduating from the bootcamp, I landed my dream job: my first junior software developer position in a very talented team of software engineers and computer scientists... Read More in a very creative startup in Shibuya, Tokyo. I had no prior working experience in Japan nor degree from a Japanese University.The team at Le Wagon Tokyo is absolutely fantastic: Sylvain (the Le Wagon Tokyo founder), the teachers Douglas, Yann and Trouni and Sasha (parternships and events). The teachers are genuinely passionate about teaching you how to code, to share their knowledge and very importantly to teach you how to gain the developer mindset and habits of ""learning by doing"" and ""trail and error"". They were super available and enthusiasts to answer all my questions before, during and after the bootcamp. The support after the bootcamp (during the job hunt phase) was brilliant as well. The content and structure of the curriculum is very well thought, comprehensive and continuously updated. At Le Wagon Tokyo I feel that I have learned more than coding, I learned to become a developer. By this I mean that I have not only learned the fundamentals of coding but more importantly how to code in order to ""build stuff"" (websites or web applications) that users actually want to use! Personally this new approach (i.e. ""learning by building stuff"" ) has been a massive mindset shift. And it is simply the best way to learn how to code and to become a good developer. And I felt that I was taught this mindset from day 1 at Le Wagon. The last 3 weeks of the bootcamp are project weeks with other students. During these weeks I have learned how to work within a team of developers, i.e. how to communicate my ideas and how to use GitHub to share code. I believe that was another excellent preparation to help me land my first developer role. Another amazing point for me (and which is maybe less often mentioned) is the Slack of Le Wagon. From the day you join the bootcamp, you become part of the Le Wagon Slack and have a lifetime access to it! You gain access to a community of more than 9,000 alumni (at the time of writing this review) and teachers all over the world. In addition to Google and Stack Overflow it is an amazing network and resource to find help as a junior developer, to learn new things and to connect with other like minded people and to find a job if you move to another country. Overall, I felt that Le Wagon Tokyo bootcamp and team have provided me with all the environment, tools, quality of teaching and support I needed to learn effectively to succeed and land my first job as a developer. Thank you so much guys for helping to change my life, you are real stars!Read Less",le-wagon
"My background is in business and finance. I learned how to code during my studies but I felt I needed to dive further into some topics in a more structured way. I was not able to take 2 months off to join a full-time bootcamp so I was happy Le Wagon Montreal... Read More offered a part time option. As a private equity and venture capital investor, my rationale for taking this course was to understand how tech businesses were built but also become more efficient with computers at work.What I liked the most about the bootcamp was the quality of the TAs (teacher assistants), the format (for the part-time you watch the lectures whenever you want and focus on solving challenges during class) and the fact that they teach you how to think and solve problems like a developer. Another aspect I enjoyed a lot is that the school has great relationships with the start ups in Montreal.I enjoyed the bootcamp very much and fell in love with tech. Right now I’m focused on building websites on the side and I am even considering joining a tech company.Read Less",le-wagon
"Context: I was a student in batch #402 in Oslo for the web developerBefore joining the Le Wagon boot camp I had spent a few months learning to code on my own using books and websites after having absolutely no exposure to programming for my life at age... Read More 31. I thought I was making fine progress on my own and I was skeptical of the benefit a boot camp could offer me. My personal reservations about joining was whether it would be worth it, the price tag is not inconsiderable after all. While I do recommend preparing as much as possible (and definitely do the prep-work as thoroughly as you can) to get the most out of your time at a boot camp, the progress I experienced in my learning with le wagon was much greater than what I had been able to achieve on my own.The great advantage that the Le Wagon has over something like the career routes I tried from codecademy is that the program is designed holistically. What I mean by this is that rather than taking a whole bunch of separate pieces of knowledge (SQL, JS, RUBY etc) and feeding them to you one after another the program is designed with a single end point in mind. While getting started on the program it was hard to see how it would all be used, but when we got to the ruby on rails section of the syllabus it was like a light went on in my head. I could see that not only was I learning how to use rails, but I had already learned everything I needed to understand just how the different pieces of the rails framework fit together. One of my classmates who found the course very challenging in the beginning and to the middle remarked that at the end it was like things started to click into place. I think this is a reflection of a well designed syllabus.We also got some very valuable experience working in a team on applications. Learning on your own is well and good, if you are able to, but learning the work-flow on github with pushing, pulling and reviewing other’s works is simply impossible to do on your own. For the last parts of the boot camp we got a lot of very useful experience doing this as we took an application from a pitched idea to a finished MVP. I was honestly amazed at what we were capable of creating on our own after such a short time. You can see what we made at www.infitter.net and a demo at https://www.linkedin.com/posts/le-wagon-norway_changeyourlife-learntocode-activity-6724648218480709632-3ny- For myself I am very happy that I took the boot camp, I met some great people along the way and while there is still a lot to learn the shroud of mystery around coding has mostly been lifted, so that I not only know more, but I am better equipped to find information on my own. I would recommend the Le Wagon boot camp to anyone looking to break into the world of programming.Read Less",le-wagon
"My name is Vincent, before joining the Bootcamp of Le Wagon, I have been an electrician for about 8 years and even if I'm someone who really likes to use his hands and build things, I realized that I wasn't doing something that made me happy and I wanted... Read More to change that. That thought started to grow for 2 years and then a friend of my girlfriend told her about some developer she was working with and how he just loved to code. I had already done some coding when I was younger, but I had a very different vision at this age. This conversation picked my interest really quickly. It's at this point that I started to look for a way to learn to code as soon as possible and that's when I found Le Wagon.The experience was incredible, even with the pandemic going on, I learned so much about coding in just a few weeks. I also learned a lot about how to even get better with my coding. I had the chance to lead a small team of 4 people (myself included) to build an app in just 6 weeks! I feel really well equipped to work as a developer and go on working on personal projects.Read Less",le-wagon
"After spending few months deliberating if Le Wagon would be the right choice for a life change, I can say now that it was one of the greatest experiences in my life. At the beginning you can feel a bit overwhelmed with all the new information you are... Read More learning. Then, you start settling all these new concepts down and finding some sense. And at the end, you create a project from scratch without thinking that few weeks before, you did not know anything about coding. I would recommend 100% Le Wagon to anyone who is interested to change its career and go to the tech path. If you have any doubt about it, do not hesitate to visit them, they always welcome you as they did for me. Big thanks to Le Wagon!Read Less",le-wagon
"Hello guys! My name is Micky Macato and I'm 35 yrs old from Philippines. I've been living in Japan for almost 10years. I studied Japanese for a year then been teaching English for the past 9 years. I'm also an entrepreneur. I've been interested with Web... Read More Development when I designed my own website using Weebly. It was cool but it was loading really slow. I have no idea about UI back then, buttons were all over the place, in short it was not pretty. I saw some of my co-workers studying programming on their free time. I got curious and started asking questions whenever we go out for drinks. They motivated me on learning web development too. So I started slowly with CS50 and Freecodecamp trying to feel it first if programming was for me. I also did some research on how many people actually found jobs and changed their career. Also I was concerned with my age as I'm already 34 that time. I felt I'm too old for this. But like they say you'll never know unless you try! and so I did! The school that I was working for had to close for almost three months due to COVID-19. Since I had nothing to do I enrolled online with Codecademy. I felt that if I actually pay for something this will definitely motivate me. Took their Web Development course in three months. I felt that something is still missing. I'm not confident with myself still. I would easily forget what I studied and it's not sticking. So I decided to enroll with Le Wagon Tokyo and took the 9 weeks Full-time FullStack Web Development course last Summer. The first 3weeks was hell! It was painful! I was really struggling in understanding the concepts. But all the teachers we're very supportive and helpful Doug, Trouni and Yann! Always offer their help whenever we get stuck and we're very patient in explaining everything for us! We had to give our pitch (an idea for an app) and mine was Greeter and I was really happy that it was chosen to be presented for our demo day! I got to team up with my talented classmates Samir and Marc. I learned how to work in a team. It was really exciting! Le Wagon Tokyo guided us on how to build our app in 10days! Teaching us different skills, strategies, tips to deliver an amazing app! Sasha and Sylvan even helped me out in practicing my presentation for Demo Day! and just like that 9 weeks went by really fast! After the course they gave us some tips on how to land a job or launch our own start-up. They contacted different people to help us kick-start our career. After several interviews 200plus applications I finally got an offer with a company that I felt I could grow in the future. I'm going to start on Dec 1st as a Full-Stack Web Developer with Willbox a logistics IT company in Minatomirai, Yokohama. I couldn't have done this ofcourse without the help of my family and my very supportive fiancé.Read Less",le-wagon
"I was extremely skeptical before joining this bootcamp for several reasons.1) The main technology / framework / language taught in this program is Ruby on Rails. Which I had never heard of and lately - Python and Javascript are the latest hype.2) It was... Read More a considerably shorter duration than the other programs.3) It wasn’t cheap.4) I had been teaching myself code for several weeks and I thought there wasn’t much a bootcamp would teach me that I couldn’t have taught myself.I was wrong about all of the above.1) Ruby is one of the most elegant languages I've learned. Rails is an extremely powerful framework and the possibilities are limitless.2) 9 weeks was sufficient to get the fundamentals after which you must learn on your own (everything in web dev cannot be taught unless you do it yourself).3) Considering the knowledge I gained. It was worth the money.4) There was so much I didn’t know which made me level up my skills drastically.Also, the staff and TA’s are extremely helpful, polite and care about your success. It becomes one big family at the end of the course. I would do it all over again if I could.Read Less",le-wagon
"Le Wagon Oslo is an amazing experience. I could not recommend a better Bootcamp in Scandinavia! Before I started at Le Wagon, I worked nearly full-time, so it was important to me that I found a Bootcamp that would accommodate my schedule. That is why... Read More I chose the part-time course, and it was a great decision. The pace of the part-time Bootcamp was great for me. It allowed me to absorb all the material while still being able to work. The course is challenging, but it is also enjoyable and a unique experience you can only get at Le Wagon. The teachers are great too. Of course, the teachers were available during class to help, and they do a great job of explaining things, but many teachers were available to help me on days and nights when I had no class and was working on my own to solve the challenges. This was a big bonus for me and many others in my class. The final projects were my favorite of the whole Bootcamp. I felt like a real dev! Mapping things out in my head, solving problems, and seeing the whole project come together in realtime is an awesome feeling. If you are looking for a Bootcamp, I would very much recommend Le Wagon Oslo.Read Less",le-wagon
"Le Wagon is not about learning code, is about learning how to learn code. The environment embraces all challenges that we face while learning to code. They encourage you, support you, make you feel strong, and help you to always go ahead. The methodology... Read More is great because makes people learn to code in two months, it's not magic but an amazing educational approach. They have excellent teachers, and I bet one of them will be like that remarkable teacher you had in school. Less than one month after Le Wagon I got my first job as a full stack developer and not because I am good at coding, but because I face the challenge of coding always being resilient and never giving up like Le Wagon taught me.Read Less",le-wagon
