"Review","school"
"I have my masters in computer science and I joined NYCDSA to specialize in data science. I joined NYCDSA based on the reviews online and they did not disappoint. What I found most remarkable is the 1:1 support they provide. The curriculum is thorough... Read More and the standards are high but instructors were all dedicated to help students succeed and understand the material. In light of covid-19 pandemic, the team was able to transition the immersive in-person course to online. They did a phenomenal job making sure all the students are interacting with the instructors and working together on projects. Career support is also great—they became that lifelong friend to always go to for advice and guidance.Read Less",nyc-data-science-academy
"I won't go into a description of what the Bootcamp offers - you can find that in the reviews below. All of them are accurate as to the material that the program offers. I'll give my opinion of the FINANCIAL sense of going to this Bootcamp versus others... Read More and the level of job assistance provided - which is what most of you reading this are actually interested in.Let's do a compare and contrast with springboard.com (not paid for this, just using as an example)Springboard $7,500 upfront tuition ($8,900 if paid in installments) Full Refund Guarantee (after 6 months of no job) Deferred Tuition until you land a jobNYC Data Science $17,000 tuition ($5,000 deposit just to get started) No refund guarantee No deferred tuition optionYou'd think with that price tag, there'd be some awesome job network or assistance provided, right?Not really. They might send you a prospect once every two weeks. But, all the interviews I gained were through my own efforts on LinkedIn. The most they'll tell you is some superficial styling tips for your resume. And that's about it. Connections they do not provide.There was supposed to be a networking event with employers at the end of the program.Didn't happen. The closest to that was an invitation to a ""Gender Equalithon"" hackathon by Esteem whose stated goal is to ""Hire &amp; Retain Women, People of Color, LGBTQ, Latinx in Tech"". The point of this is - is that job assistance is important. The material can be learned anywhere - other bootcamps, online, universities. But the major selling point for these operations is the job assistance and access to their professional network.And by that metric, NYC Data Science doesn't deliver. P.S.The reason you probably don't see more negative reviews of these bootcamps, is because people are still angling for job assistance and most too are scared to speak up or burn bridges.Read Less",nyc-data-science-academy
"I have a philosophy degree and was working as a data analyst, but I was interested in taking my career in a more technical direction. NYC Data Science academy provided me with all of the tools to become proficient as a Data Scientist. Their 3-month program... Read More gives students a unique opportunity to gain a deep conceptual understanding of the field as well as exposure to real-world projects. No other program provides this level of immersion in the field. The projects are real data science projects that you would work on as a professional data scientist and provide you with an impressive portfolio.It really comes down to the people at NYCDSA from the instructors to career services and the alumni network. They are all ready to make a significant investment in you and your career as a data scientist. I loved learning from my instructors and from my peers. I truly feel like I am part of a community. Even in difficult economic times, you are put into a great position to launch a career as a Data Scientist. You need to be willing to invest a lot of time, but the investment pays off!Read Less",nyc-data-science-academy
"NYCDSA went above and beyond to make sure that their students had a stellar bootcamp experience despite being in the midst of a global pandemic. Having a ""live online"" model meant that we were all taking classes remotely, but that instructors were giving... Read More their lectures live through zoom and using screen sharing to share lecture notes, slides, and example code. Instructors and TAs were very readily available digitally, and made sure to make themselves available to teach and answer questions at almost all hours of the day. Aside from the impressive response to COVID, overall the curriculum was very involved - a difficult but worthwhile challenge for both beginners and experts alike! The coursework is designed to push you and involve real-world datasets as examples in your analysis, and projects give you a real sense of how to approach data analysis in an intelligent way. This a great place to learn!Read Less",nyc-data-science-academy
"Earlier this year, I decided to pursue a career change. I was working as an actuary for several years, and became interested in the world of data science. Even though actuarial science is considered to be the original data science, in modern times, the... Read More two career tracks are quite different. It felt intimidating to make the transition into the field of data science on my own, not knowing where to get started. In the beginning I was looking into getting a master’s in data science. However, I was deterred by the huge time, and cost commitment of pursuing a master’s degree. I started investigating various data science bootcamps having known several people who had successfully made career changes by attending bootcamps for programming, or design. A friend of mine recommended I check out NYCDSA. In the end, I chose NYCDSA over other programs I was considering, because it is the only data science academy that teaches both R and Python. The bootcamp is only 3 months long, but covers a ton of material, and will be one of the most intense learning experiences of your life. The program focuses heavily on practical applications. and is structured so you’re picking up the right skills in the most efficient manner. The instructors are super knowledgeable, and always there to support you along the way. A career in Data Science is a continuous learning journey, and NYCDSA was the perfect place for me to get started. I think the bootcamp does a fantastic job of helping you build a solid foundation of data science skills applicable to a range of data science career tracks. Simultaneously, there’s a lot of freedom to explore the niche field you are interested in.Read Less",nyc-data-science-academy
"A good school, open, with high level professors. Courses are introductive, but if you have deeper questions, there is no problem, the staff is there for you, which is great and adaptive for everyone. The job assistance is very effective, and they help... Read More you to be your best!Read Less",nyc-data-science-academy
"I'm a software engineer with work experience in Business Intelligence. I always felt data science was a logical extension of business intelligence. I had been planning to transition into the data science space by joining an immersive data science Bootcamp.... Read More I picked NYC Data Science Academy after researching on various boot camps near my area.My experience has been a positive one. I was able to learn a lot of data science-related subjects in a short span of 3 months.Thanks to the instructors, who were always there for the students. They really cared about the students and are well versed in the subjects they teach. The career services are very efficient, leveraging a large community of alumni.I would recommend this Bootcamp to professionals who are looking to break into the field of data science.Read Less",nyc-data-science-academy
"I attended the 12-week Data Science Bootcamp in May 2020 and gained a great deal from the experience. I came in with a background in mathematics, but with limited experience programming in Python. By the end of the bootcamp I was very comfortable using... Read More Python to work with data and run machine-learning analyses such as Random Forests and Gradient Boosting.What I thought was exceptional about the course was the quality of the instructors. These ranged from mathematicians with a distinguished track record in academia, to hands-on software engineers with experience working with complex systems. In all cases the instructors were encouraging and generous with their time.The bootcamp has an extensive pre-work section and I'd advise any attendees to complete this thoroughly. 12 weeks is a short time to cover the amount of material that's on the curriculum, so building basic coding skills before the start will be very beneficial.All-in-all I felt the bootcamp delivered exactly the skills that I was looking to build. I'd recommend it highly to anybody who wants a serious foundation in the subject.Read Less",nyc-data-science-academy
"I attended the 12-week data science program at NYC Data Science Academy and it was a fantastic experience. It was meant to be in-person but the classes were moved online due to pandemic. The transition was seamless even though we were the first on-site... Read More cohort to become fully online.  I can't recommend this program highly enough to anyone interested in a career in data science and machine learning. You will learn a lot in a very short amount of time so be prepared for an intensive experience but you'll enjoy every minute of it. The instructors have strong backgrounds in applied mathematics, computer science, statistics and machine learning - as well as industry experience - and it's extraordinary how much time and energy they put in to make sure that students understand what being a good data scientist means. You'll do homework, quizzes, exams, projects (individual and in groups), it's a lot of work but you will never feel stuck as they have excellent TAs who are always there to help. You will learn Python, R, SQL, different machine learning algorithms as well as how to work with data. But that's not all: what I particularly liked was how strongly they emphasised the importance of presentation skills and the ability to tell a story behind your numbers. Their devotion to making sure that they prepare you well for a career in data science is quite remarkable. Their career services are outstanding - you will have regular meetings to discuss your resume, prepare for interviews, network with alumni. My background is in applied mathematics and quantitative finance but the curriculum is so intensive that I had to work 12 hours a day to meet all the deadlines. But - and that's what makes NYCDSA truly first-class - it will never feel like hard work because you will be surrounded by people who are not just very good at what they do: they are passionate about data science and their enthusiasm will inevitably translate into you enjoying it, too. So if you are interested in a career in data science - NYCDSA is an excellent place to start. But even if you are considering data science but not sure whether you'll like it or not - try to get into NYC Data Science Academy: not only will you learn a lot but you'll actually love data science and will want to make it your life's work.Read Less",nyc-data-science-academy
"Without question, this is an outstanding Bootcamp for those looking to break into the field of data science. The curriculum is structured to help students master the essential vocabulary in Python (and R) needed to gather, clean, analyze and visualize... Read More fairly large data sets(up to a few million records of data) as well as master the theory behind the traditional machine learning algorithms used in supervised and unsupervised learning - ie. penalized MLR, SVM, DA, LR, DT, RF, Gradient boosting algos, clustering and PCA along with hands-on homework, quizzes, exams and project work to consolidate theory with practice. And all this is crammed into 12 weeks so prepare for an intensive ride. But as others have mentioned you will get as much out of it as you put in and this includes utilizing the wealth of resources available to you via the instructors and your cohort.In addition to the coursework, the Bootcamp prepares students for the job market by emphasizing presentation skills and the importance of using data to tell a relevant story or solve a business problem. The founder of the program is personally involved in the resume and interview preparation as well as many aspects of the job hunt process.I enrolled in the 12weeks in-person Bootcamp but due to Covid-19, all classes were made virtual. I commend the Academy for making this transition seamless without a reduction in the academic experience.I certainly recommend this Bootcamp to beginner/intermediary level data science professionals or those looking to make a complete switch. There's unfortunately not enough time and emphasis put into the more advanced machine learning techniques like neural networks or manipulating very large datasets(mm++ records) but for more advanced students, the Academy offers advanced courses in deep learning, hdfs &amp; spark that are unfortunately separate from the Bootcamp(at an additional cost of course!)Read Less",nyc-data-science-academy
