"Review","school"
"I completed Springboard in November 2020 and was very dissatisfied with the service. The material is a compilation of online resources and found myself constantly looking for additional resources to supplement my the material being taught. Having a mentor... Read More was the main selling point but our calls just seemed to be a formality without any real substance. Finishing the course, I do not feel confident in any of the skills ""learned"". Save your money and time and look elsewhere.Read Less",springboard
"I wanted to change career and industry for several years and I chose Springboard's Data Science Career Track to do so while I had just been laid off “thanks to” the Covid-19 and oil crises. Great timing for a career change, I know...I studied the Data... Read More Science curriculum, the Career curriculum, followed the great advice given by my Springboard Career Coach and my Springboard Mentor. I did everything Springboard told me to do to become a successfull, skilled Data Scientist with a great professional network and high visibility. The results of all of that is I was hired as a Data Scientist on week 13 of the program in a certified ""Great Place To Work!"" international company, which leads its industry in the US.Pros:- 100% online curriculum with great resources and lectures from Harvard, Stanford...etc... All interactions with advisors, mentors, coaches are online and on a flexible schedule.- You'll get enrolled in DataCamp and have access to extra practice/project work to master your skills (Python, SQL, Pyspark, Github...). I love DataCamp and will remain a member.- You'll have access to LinkedIn learning, Medium, Towards Data Science.- Weekly presentations (career sessions, business hour Q&amp;A, guest presentation)- Weekly meetings with your assigned mentor. You can schedule additional sessions if needed.- You can select your own career coach from a long list of Springboard career coaches (their background and skills are diverse which makes the coaching experience invaluable). I personally chose one career coach and followed up with him throughout the program.- You'll get to work on a lot of projects (40ish), 3 capstone projects to apply what you've learned and your work will be reviewed by TAs who have a great sense of humor.- Springboard conference (Rise!) and seminars (wellness, career...) during which you can interact with fellow students, alumni, employers...- Because the program is online and always accessible you can do it in 6 months as planned or in 4 to 5 months. I am now on week 16 with 84% completed. It is really up to you.Cons: There are no cons as far as I am concerned however you need to know that the program requires drive and self-discipline because there is a lot to do and so little time... You'll get help and tips from your student advisor, the career services, your career coach, your mentor, the TAs, and even from other students. The bottom line is that you need to stay on task and have the time to work on your projects.The program is worth more than you pay for. There is a steep learning curve but it remains fun all the way and it works! If you are afraid of not 'being good enough', start with the Data Science Career Preparation which will give you a taste of the level of statistics and Python coding you need. It is only 4 week-long, about $500 which will be credited towards your Data Science Career Track tuition upon successfull completion.Read Less",springboard
"Just finished the Springboard Data Analytics boot camp and would strongly recommend it to anyone who is looking to learn data analytics and pursue a career. Overall, I thought the Springboard curriculum was well curated and I feel very prepared to begin... Read More a career in data analytics. The course gave me strong skills in Excel, SQL, Tableau, Python and more. As I was finishing my final project, I was really pleased with how much I could already do in Python and SQL and feel more than prepared to contributed to a company with my data analytics skills. There were a few projects and subunits that were confusing or hard to follow, but the Springboard team is great at soliciting feedback and improving its curriculum based on that feedback. Even during my time in the course, there was a curriculum update that addressed many of my concerns. Overall, a great course.Read Less",springboard
"During my time at Springboard, I was very impressed with the comprehensiveness of the curriculum and the amount of information that is covered. But by far the best part of this bootcamp was the support. The mentors, career coaches, teacher assistants,... Read More and slack community made all the difference. I spent a lot of time looking through all the software engineering bootcamps, and this one is definitely the best one I found for the price.Read Less",springboard
I really enjoyed the 1:1 mentor support and the on demand mentor support. It really helped me get unstuck every-time. The course content is good to give a foundation for the concepts of Data Analysis. But I really wish there was more career support.,springboard
"I didn't know what pandas was when I started the Data Science Career Track program, and now I feel mostly confident while applying to jobs.Because I have not experience in data science, I'll probably work up from a data analytics role.Biggest Pro: Excellent... Read More Mentorship. My mentor was competent, kind, and genuinely wants to help people achieve their goals.Biggest Con: Didn't communicate I need to be practicing on websites like HackerRank or LeetCode. I wish they had recommended it from the start. For beginners, I suggest Edabit.com.Read Less",springboard
"After being laid off from my market analyst job in April, I decided to enroll in Springboard's UI/ UX Design Track to educate myself on the world of UX methodologies. The curriculum was intensive and very informative, and my 1:1 sessions with my mentor,... Read More and later my career coach, were exceptional. I landed a full-time UX Researcher role within a month of completing my certificate! I highly recommend the UX programs at Springboard as your foot in the door to the industry, and their career facilities are exceptional.Read Less",springboard
"I just finished the course last month and start job hunting for two weeks. I did not have any tech background and I was searching for all the available options for in-person and online DS bootcamps in NYC. After careful comparison and considering the... Read More situation of pandemic, I chose Springboard and it has been a rewarding journey. There are several aspects I like about the experience: 1. the course material is well-selected and covers all the basics for a junior data scientist. 2. My mentor has been very helpful through the whole process and I think it is a good training for me to find the best questions to ask and communicate in the limited time. 3. Springboard tries to support me with all kind of tech support(code review, weekly Q&amp;A meetings) to make up for the difficulty of online learning. 4. Springboard offers job guarantee and the career coach is the best I ever had and Springboard is trying hard to prepare the students with job market from day 1. There are things to consider as well: I was doing it full-time and it took me 8 months to finish. If you are very busy schedule with your life and have no coding experience before like me, it needs a lot of efforts to stay on track. Also, you have to be able to learn independently because there are no TAs around you all the time. Overall, I like the Springboard community and I believe they are doing a great job in preparing their students for the future jobs.Read Less",springboard
"Springboard is a lot of hands on learning which is fantastic! You get weekly mentor calls, so much support, and a really great environment for learning. The only thing I wish could be changed is that you could work with other designers. You do have an... Read More online community, however, I wish we could have had teams. Also I do warn new students when it comes to your IDP, your internship, be specific on what you would like to work on. Overall I loved my time at Springboard and I would highly recommend it to anyone.Read Less",springboard
I had over 10 years of experience in fashion design (hold BFA fashion design degree) and decide to switch my career as a UX designer. I am glad that I ended up move forward with springboard (after shopping 3 different bootcamp companies). 1. 1:1 mentor... Read More program was excellence. I like that I had mentor who was already in the industry and designated mentor from the beginning to end so they guide you for your needs. 2. 100% online at your pace. Worked very well during the covid and I like that you can go on your own speed so you don't have to meet with others pace. 3. Job guaranteed program. I don't have to worry about the tuition cost right away and the fact that there is many career coaches with different experiences and background really helped me to grow and learn so much more than what I learned from college. I highly recommend springboard if you are interested to become a UX designer. I know you can become UX designer as self taught but I am glad that I went with the bootcamp because I also learned other than ux skills through the course such as real time ux / product designer coaching and career advices and so on. Plus I gained good network through springboard as well.Read Less,springboard
