"Review","school"
"- Course contents are very rich and well-designed- The exercises were good and challenging but in some areas, there were some missing points (in describing the exercise solutions some parts were skipped). - Choosing blog writing as the first project was... Read More brilliant!- Overall, I think this is a very engaging and effective course and I definitely recommend it.Read Less",udacity
"Udacity Nanodegree is the most important experience that changed my mind,my thoughts and my life for ever. In beginning, I had no any prior experience about marketing field and I thought I would not be able to achieve success and pass but with flexibility... Read More and easiness of information explanation, professional instructors and practical application , I became more confident and graduated with huge experience in work place and freelance platforms not just information.Read Less",udacity
"it was a good project to apply what we learned in this Nanodegree course and the previous course . we used languages like HTML , CSS and Javascript to get the layout of the page with dynamic navigation bar . i'm looking forward to the next project and... Read More the coming challenges .Read Less",udacity
"Currently I'm making progress toward Project 2 by reading foundation materials. Quality of offered content, selection of instructors and concept of labs is matching my expectations. Some problems with lab environment are popping out here and there. Fortunately,... Read More during preselection phase I utilized lab time to the maximum and got my way around Azure ML Studio. That helps me overcome problems without need to seek official support . I hope the situation will stay at least like this in terms of stable lab environment. However, I always strive to broaden learning experience by trying different stuff, so my need would be to have more lab time to experiment with suggested additional materials. I also know that is a lot to ask. My next expectation is to have same level of knowledge details we need to put our new skills into practice. Looking forward to see how it will unwrap with Capstone Project. There are some minor mistakes in materials which is understandable. I see that as beneficial, because we need to make our way through even in less than ideal circumstances. This will also prepare us for real-world scenarios to apply ML skills.Read Less",udacity
"Meets SpecificationsWell done on this project. Keep it up!Marketing ObjectiveListed one marketing objective for your blog post.Stated your primary KPI.Provided the target persona from Project One.Your marketing Objective has to follow the SMART approach.... Read More SMART is an acronym that stands for Specific, Measurable, Achievable, Realistic, and Timely. Good work on the marketing objective and KPI.✔️You have done a good job in writing the SMART objective.✔️Your KPI aligns with the objective.✔️The target persona is detailed and relevant for this campaignWrite a Blog PostBlog post has been written with one of the two theme options: Why have you decided to take the Digital Marketing Nanodegree Program? or Choose a successful or creative marketing campaign that you love. What is the story being told by the campaign and why do you love it, why did it catch your attention?Blog post follows one of the two storytelling frameworks: SCQA or PixarThe blog post has been submitted in the Google Doc TemplateThe title of the post is compellingThe voice and tone is appropriate for the audienceIf you include media in your post, include it and make sure you are compliant with copyright lawsThe blog post is a minimum of 250 words and maximum of 500✔️ The blog is written as per the chosen theme and using the storytelling framework: SCQA✔️ The title of the post is compelling✔️ Voice and tone are appropriate. The blog post is 250+ words✔️If you include media in your post, include it and make sure you are compliant with copyright laws. Please add the source to your images so we can validate thisCraft Social Media PostsIdentified three social media platforms and given a short one to two sentence description of why that channel was chosenThe social media platforms chosen are a good fit for the target audienceCrafted one post for each of the three platforms chosenSocial media posts should have compelling contentThe content of social media posts meets the standard of the way the channel is primarily used (character count, images, etc)Good job on social media posts. They are well-written and have a proper CTA.To get additional info on how to best create a post and get some more inspiration, you may have a look at this article:https://buffer.com/resources/how-to-craft-the-perfect-post-on-facebook-twitter-and-instagramRead Less",udacity
"Udacity considered a very effective educational platform for me, as it directly connected to my needs, abilities and market needs. It will be always a great choice for me. Its programs and courses designed to give you a real projects to grow you skills... Read More and make it fit with the market needsRead Less",udacity
"Udacity is my best experience so far with learning platforms! From coding skills to soft skill for high graded position in high tech companies, Udacity brings clarity and structure when learning about a specific job. Udacity simplifies any complex topic... Read More with a step-by-step methodology and emphazises self motivation. I highly recommand !Read Less",udacity
"I started the course with low ambitions but i surprised with the easy use website (UDACITY), international lecturers, the experience people that exist in the interviews , really it is a awesome journey not a boring learning course, i wished to work with... Read More them after the DMND course, Thank you EGYPT fwd and UDACITY.Read Less",udacity
"Awesome program for android developers and it is highly updated to the last technologies, concepts and libraries that the community and companies around the world adopt in their products. Hey what about the next step develop mobile applications in all... Read More form factors like iOS and Web using Flutter, after I complete these program I would love to be able to develop using FlutterRead Less",udacity
I highly recommend this progran to anyone who is trying to be on track.However its very practical amd even if you are a professional it will affect you positivelyand and to your knowledge.I choosed digital marketing nano degree program advanced track... Read More and i believe its very good thank you Udacity ،،❤️Read Less,udacity
This program turned out to be really beneficial to a great extent. Udacity is providing three tracks for digital marketing that really helped me know more about the field and start my freelancing career. Being part of Udacity's program has been such a... Read More pleasure. All the materials are clear and the reviewers are professional.Read Less,udacity
"Udacity is an outstanding platform that enables absolutely everyone analyze some thing including digital marketing , design , programming and lots greater the use of contemporary-day era as their medium to attain humans everywhere in the world. Udacity... Read More presents cooperative movies and assigenements to make certain that their college students apprehend the idea.Udacity's on-line cources are the pleasant manner to analyze any idea in an easy , a laugh and less costly manner.Read Less",udacity
Do not waste your money on the react course from Udacity. The course give very little video instructions. You can learn just as much free online courses. Very disappointed. Udemy has a React course that gives you much better video instructions and is... Read More only $12 compared to $1500.00 to $750.000 per course.Read Less,udacity
"The program so far is going great. I do appreciate the marketing framework. This was a great explanation of how to go about creating a marketing plan/campaign. I appreciate the simple approach that can be customized to each businesses' needs. Some suggestions... Read More I would offer is a greater variety of example companies, especially in different industries. BambooHR is B2B and I wish more of those types were featured. B2C gets more attention as the audience is larger and a vast number of different avenues to market to them. B2B needs to take a more strategic approach because while they are selling to business, the businesses should be treated as customers. But problem lies is that there are multiple decision makers in a business and that should be emphasized and explained.Read Less",udacity
"It was a wonderful education journey…It was a wonderful education journey that will satisfy my needs and meet all my expectations,In Digital Marketing Nanodegree they will teach all points and have a great practicing with live monitoring for all the sections... Read MoreThank you UdacityRead Less",udacity
Thank you for your efforts and I really appreciate it and I learned a lot and I do my best to gain as much as I can to start my own project and be a clever marketer as you teach me. Thank you and I recommend the course to all my interested friends. Again... Read More thank you ☺️Read Less,udacity
really greatI learned many things that I did notI know her before I have expanded my experiences in the field of digital marketing and this helped me improve my skills The program fits my needs and expectations I'm very interested this programThank you... Read More very muchRead Less,udacity
I needed a re-introduction to data analysis and this nanodegree is checking all the boxes. The goal is improve in my current role and create a foundation for adding some future coding skills to my toolkit. Udacity provides a practical learning environment... Read More that I can immediately apply in the my job search. Thank you Udacity.Read Less,udacity
"it's very useful and I benefit more from it in Java script , I can make dynamic navbar now and make it smooth on scroll . Thanks Udacity for this amazing journey that i really benefit from a lot, I am still studing and i hope to be a part from udacity... Read More team to help other people to be more expert in my fieldRead Less",udacity
"The program is going very good, for 7 months I looked for a program that help me to change my career, until I found that program and that scholarship, I chose to study Digital Marketing Nano Degree because is related to my previous experience in sales.... Read MoreRead Less",udacity
"I am really enjoying the program. It is very nicely designed. Could be more expensive than other courses, but is way better. This program covers the foundations of Python in the depth I needed, and is indeed very carefully designed. I strongly recommend... Read More it for those who want to dive seriously in the paths of AI and Data Science. I strongly recommend Udacity, they are pretty good in what they do.Read Less",udacity
"It was amazing part of the Course , I have learned so much to develop my skills and gain more information for Digital Marketing ;They are assisting , helping guiding me and all students to pass the project with efficiency . Practice and Implement what... Read More I have learnt is the most important part as this course has to be practiced.Read Less",udacity
good projects and very good reviewer I liked the project of missing parts to complete and having a deadline to deliver. it's very good idea to get challenged and to practice the course information,udacity
"For me after the corona virus i decided to make value from my free time by developing myself, i loved digital marketing and i found that it's an ongoing job which have a future even during the pandemic, so i found this amazing initiative and decided to... Read More take my first step in my career. this program exceeded my expectations it gives me amazing content not just that but it also make me work on a real project and try my self in making a marketing campaign in many different channels which needed from me great effort but it was fun and worth it. thank you all for everything.Read Less",udacity
